"Ed 252 - Fevereiro 2017","Demandas crescentes","Parcerias entre instituições de pesquisa e a esfera pública procuram entender a judicialização da saúde e propor estratégias para lidar com o fenômeno","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/10/demandas-crescentes/","CAPA"
"Ed 252 - Fevereiro 2017","Eduardo Franco: Um pé na ciência, outro no ativismo","Epidemiologista concilia atuação em campanhas de vacinação contra o HPV e uma intensa atividade científica sobre câncer de colo de útero","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/eduardo-franco-um-pe-na-ciencia-outro-no-ativismo/","ENTREVISTA"
"Ed 252 - Fevereiro 2017","Corredor estreito","Estudo mostra como a participação feminina na filosofia no país diminui no decorrer da carreira acadêmica","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/09/corredor-estreito/?cat=politica","POLÍTICA C&T"
"Ed 252 - Fevereiro 2017","Engrenagem em movimento","Novo sistema de avaliação da USP cobra desempenho de docentes e articula metas individuais com as de departamentos e unidades","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/09/engrenagem-em-movimento/?cat=politica","POLÍTICA C&T"
"Ed 252 - Fevereiro 2017","Pacto em transformação","Movimento pela recuperação da Mata Atlântica se reorganiza para atingir metas propostas","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/09/pacto-em-transformacao/?cat=politica","POLÍTICA C&T"
"Ed 252 - Fevereiro 2017","Ondas de matéria do Universo jovem","Radiotelescópio a ser construído no Uruguai deve examinar os efeitos da interação entre o hidrogênio e a radiação eletromagnética","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/09/ondas-de-materia-do-universo-jovem/?cat=politica","POLÍTICA C&T"
"Ed 252 - Fevereiro 2017","O peso através das gerações","Entre ratos, efeitos do consumo excessivo ou da falta de comida podem ser transmitidos para filhos e netos","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/o-peso-atraves-das-geracoes/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Microcefalia in vitro","Vírus zika se replica em células neurais devido  a manipulações genéticas que interrompem o desenvolvimento do cérebro","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/microcefalia-in-vitro-2/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Circuitos da caça","Duas vias neuronais que partem da amígdala cerebral controlam o comportamento agressivo do predador","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/circuitos-da-caca/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Uma árvore de ramos inusitados","Ampla amostragem genética revela parentescos e eventos evolutivos na diversificação de família de roedores","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/uma-arvore-de-ramos-inusitados/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Abrigo de gigantes","Extintos há 10 mil anos, preguiças-terrícolas e tatus gigantes podem ser os construtores das maiores paleotocas já descobertas no planeta","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/abrigo-de-gigantes/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Laboratório de bolso","Aumento da eficiência de laser aleatório abre caminho para a fabricação de microchips de baixo custo para exames médicos","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/laboratorio-de-bolso-2/?cat=ciencia","CIÊNCIA"
"Ed 252 - Fevereiro 2017","Alertas contra o sono","Para evitar acidentes, poltrona vibra, ventila e avisa o motorista quando ele está cansado","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/alertas-contra-o-sono/?cat=tecnologia","TECNOLOGIA"
"Ed 252 - Fevereiro 2017","O passado revelado pela ciberarqueologia","Ferramentas digitais são utilizadas no estudo de localidades antigas e na reconstituição do patrimônio histórico","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/o-passado-revelado-pela-ciberarqueologia/?cat=tecnologia","TECNOLOGIA"
"Ed 252 - Fevereiro 2017","Agricultores e sedentários","Ancestrais do grupo Jê viviam em habitações subterrâneas e cultivavam mandioca e feijão no planalto catarinense há mil anos","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/agricultores-e-sedentarios/?cat=humanidades","HUMANIDADES"
"Ed 252 - Fevereiro 2017","Força e luz","Pequenas companhias criadas no século XIX, em grande parte por empresários ligados ao café, formaram posteriormente o setor elétrico paulista","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/02/13/forca-e-luz/?cat=humanidades","HUMANIDADES"
"Ed 251 - Janeiro 2017","Inovações cervejeiras","Investimento em pesquisa e em novas tecnologias melhora a qualidade da cerveja brasileira e os custos de produção","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/01/09/inovacoes-cervejeiras/","CAPA"
"Ed 251 - Janeiro 2017","Lux Boelitz Vidal: Colecionadora de culturas","Pioneira de estudos com índios na Amazônia e da etnoestética no país, antropóloga contribuiu para demarcação de terras e construção de museu","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/01/10/lux-boelitz-vidal-colecionadora-de-culturas/","ENTREVISTA"
"Ed 251 - Janeiro 2017","Política industrial em xeque","Em resposta a painel da OMC, governo estuda mudanças em leis e na forma de estimular Pesquisa & Desenvolvimento","Revista Fapesp","http://revistapesquisa.fapesp.br/2017/01/10/politica-industrial-em-xeque/?cat=politica","POLÍTICA C&T"
