"Edição 771, out/novembro de 2016","Conferência aponta os desafios da
avaliação na Capes","O que se busca é como promover e manter a qualidade dos programas de pós-graduação,
afirma a diretora de avaliação da instituição","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/11/JC_771.pdf","educação"
"Edição 771, out/novembro de 2016","“Ondas gravitacionais marcam o nascimento de
nova disciplina científica em 2016”","João Evangelista Steiner apresentou a conferência de abertura da Reunião Regional","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/11/JC_771.pdf","Pesquisa & Desenvolvimento"
"Edição 771, out/novembro de 2016","Novas apostas em tratamento de câncer são destaque
na Reunião Regional da SBPC em Palhoça","O neurocientista e professor da UFRGS, Rafael Roesler, falou sobre a importância da
neurotrofina no crescimento de tumores, uma aposta para novos biomarcadores em câncer
pediátrico","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/11/JC_771.pdf","Pesquisa & Desenvolvimento"
"Edição 771, out/novembro de 2016","Um dia dedicado à interação entre ciência e
comunidade","“Dia da Família na Ciência” já é tradição nos eventos da SBPC","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/11/JC_771.pdf","SBPC"
"Edição 770, setembro de 2016","O impacto das mulheres na
Ciência","","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Editorial"
"Edição 770, setembro de 2016","As mulheres presidentes da SBPC","Carolina Bori, Glaci Zancan e Helena Nader encontraram na paixão pela pesquisa a premên-
cia de lutar pelo desenvolvimento da educação e da ciência universais e com qualidade no País","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Ciência & Mulher"
"Edição 770, setembro de 2016","Sinhá Moreira, a precursora do Vale da Eletrônica","Visionária, ela criou a primeira escola técnica de eletrônica do País em 1959","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Ciência & Mulher"
"Edição 770, setembro de 2016","Ciência & Mulher, um novo espaço para a
divulgação científica brasileira","A SBPC pretende que o espaço se torne um depositório de notícias sobre a presença feminina
na ciência brasileira","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Ciência & Mulher"
"Edição 770, setembro de 2016","A presença da mulher brasileira no mundo
acadêmico e científico","","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Artigo"
"Edição 770, setembro de 2016","Prêmio “Para Mulheres na Ciência” é estímulo para
jovens cientistas","Desde 2006, 75 cientistas foram premiadas e dividiram R$ 3,5 milhões em bolsas-auxílio","Jornal da Ciência Impresso","http://jcnoticias.jornaldaciencia.org.br/wp-content/uploads/2016/09/JC_770.pdf","Ciência & Mulher"
