"Edição 79","Arte e cultura","Poética das sensibilidades","","Arte e cultura","http://www.unespciencia.com.br/2016/10/arte-79/"
"Edição 79","Foto do mês","Unesp recebe vice-primeira-ministra da China","","Foto do mês","http://www.unespciencia.com.br/2016/10/foto-mes-79/"
"Edição 79","Opinião","20 anos do PET Ciências Sociais","","Opinião","http://www.unespciencia.com.br/2016/10/opiniao-79/"
"Edição 78","Editorial","Liderança e inovação","","Editorial","http://www.unespciencia.com.br/2016/09/editorial-78/"
"Edição 78","40 anos do curso de Ecologia de Rio Claro","Um longo caminho na formação do ecólogo","","40 anos do curso de Ecologia de Rio Claro","http://www.unespciencia.com.br/2016/09/ecologia-78/"
"Edição 78","Patentes e Inovação","O desafio da inovação","","Patentes e Inovação","http://www.unespciencia.com.br/2016/09/materia-capa-78/"
"Edição 78","Sociedade","Conflitos raciais nos EUA","","Sociedade","http://www.unespciencia.com.br/2016/09/sociedade-78/"
"Edição 78","Tecnologia da informação","O novo direito à desconexão","","Tecnologia da informação","http://www.unespciencia.com.br/2016/09/TI-78/"
"Edição 78","Relações Internacionais","O Terror em Israel e na Palestina","","Relações Internacionais","http://www.unespciencia.com.br/2016/09/israel-78/"
"Edição 78","Configurações familiares","Mulheres chefes de família","","Configurações familiares","http://www.unespciencia.com.br/2016/09/mulheres-78/"
"Edição 78","Leitura","Clássico ensina como se tornar filósofo","","Leitura","http://www.unespciencia.com.br/2016/09/leitura-78/"
"Edição 78","Educação","A quem interessa a doutrinação do Escola Sem Partido?","","Educação","http://www.unespciencia.com.br/2016/09/educacao-78/"
"Edição 78","Internacionalização","Revisão do programa Ciência sem Fronteiras","","Internacionalização","http://www.unespciencia.com.br/2016/09/internacionalizacao-78/"
"Edição 78","Medicina","Casos de aids voltam a crescer no Brasil","","Medicina","http://www.unespciencia.com.br/2016/09/medicina-78/"
"Edição 78","Relações Internacionais","Os 25 anos do Mercosul","","Relações Internacionais","http://www.unespciencia.com.br/2016/09/mercosul-78/"
"Edição 78","Música","A morada do som","","Música","http://www.unespciencia.com.br/2016/09/musica-78/"
"Edição 78","Arte e cultura","Velho Chico, a novela do ‘novo mundo rural’","","Arte e cultura","http://www.unespciencia.com.br/2016/09/arte-78/"
"Edição 78","Foto do mês","Instituto de Estudos Avançados do Mar","","Foto do mês","http://www.unespciencia.com.br/2016/09/foto-mes-78/"
"Edição 78","Opinião","Lei Anticorrupção e Projetos Educacionais","","Opinião","http://www.unespciencia.com.br/2016/09/opiniao-78/"
