"Edição 677","Galáxia em crescimento","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/galaxia-em-crescimento",""
"Edição 677","Tradição que conserva","Pesquisa aponta importância do papel das populações tradicionais nas ações de combate à erosão genética vegetal","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/tradicao-que-conserva",""
"Edição 677","Pistas sobre o Alzheimer","Perda do senso de continuidade temporal pode estar ligada à função da DMN","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/pistas-sobre-o-alzheimer",""
"Edição 677","Longevidade ampliada","Pesquisa do IB prolonga a vida de verme em 20% ao inibir proteína presente também no organismo humano","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/longevidade-ampliada",""
"Edição 677","Estudos associam pouco sono a doenças","Pesquisas desenvolvidas em laboratório da Unicamp trazem novas revelações a respeito dos efeitos da obesidade entre crianças e adolescentes","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/estudos-associam-pouco-sono-doencas",""
"Edição 677","Uma metodologia para cidades inteligentes","Proposta pode auxiliar municípios na adequação de políticas e planejamento urbano","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/uma-metodologia-para-cidades-inteligentes",""
"Edição 677","Tudo se aproveita na atemoia","Estudo da FEA comprova que fruta possui importantes propriedades funcionais","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/tudo-se-aproveita-na-atemoia",""
"Edição 677","Saúde e educação no centro  do debate no Fórum Penses","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/saude-e-educacao-no-centro-do-debate-no-forum-penses",""
"Edição 677","Burocracia impulsiona indústria de semicondutores","Pesquisa descreve e analisa o setor no país, traçando as principais políticas públicas","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/burocracia-impulsiona-industria-de-semicondutores",""
"Edição 677","O pêndulo da Funarte","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/677/o-pendulo-da-funarte",""
"Edição 676","Telescópio","","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/telescopio",""
"Edição 676","A arapuca que aprisiona partículas de luz","Cientistas do Instituto de Física desenvolvem nova geração de detectores de neutrinos","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/arapuca-que-aprisiona-particulas-de-luz",""
"Edição 676","Bioquímico reverte resistência de células cancerígenas a quimioterápico","MicroRNAs são alvos-terapêuticos para câncer e hipertensão","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/bioquimico-reverte-resistencia-de-celulas-cancerigenas-quimioterapico",""
"Edição 676","Estudos comprovam efeito ergogênico da melatonina","Testes com animais mostram que substância pode melhorar desempenho em exercícios físicos","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/estudos-comprovam-efeito-ergogenico-da-melatonina",""
"Edição 676","Memórias femininas do cárcere","Tese retrata a realidade vivida por presas de cerca de 60 países na Penitenciária Feminina da Capital","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/memorias-femininas-do-carcere",""
"Edição 676","Ruído afeta a percepção da fala de crianças, aponta estudo","Pesquisa mostra a urgência de testes auditivos já nos primeiros anos do ensino fundamental","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/ruido-afeta-percepcao-da-fala-de-criancas-aponta-estudo",""
"Edição 676","Princípios darwinianos inspiram algoritmo que resolve problemas","Método descobre soluções em várias áreas, das telecomunicações à economia","Jornal da Unicamp","http://www.unicamp.br/unicamp/ju/676/principios-darwinianos-inspiram-algoritmo-que-resolve-problemas",""
