"Edição 79","Liberdade, Liberdade","Unesp Ciência","http://www.unespciencia.com.br/2016/10/televisao-79/","Televisão"
"Edição 79","Poética das sensibilidades","Unesp Ciência","http://www.unespciencia.com.br/2016/10/arte-79/","Arte e cultura"
"Edição 79","Unesp recebe vice-primeira-ministra da China","Unesp Ciência","http://www.unespciencia.com.br/2016/10/foto-mes-79/","Foto do mês"
"Edição 79","20 anos do PET Ciências Sociais","Unesp Ciência","http://www.unespciencia.com.br/2016/10/opiniao-79/","Opinião"
"Edição 78","Liderança e inovação","Unesp Ciência","http://www.unespciencia.com.br/2016/09/editorial-78/","Editorial"
"Edição 78","Um longo caminho na formação do ecólogo","Unesp Ciência","http://www.unespciencia.com.br/2016/09/ecologia-78/","40 anos do curso de Ecologia de Rio Claro"
"Edição 78","O desafio da inovação","Unesp Ciência","http://www.unespciencia.com.br/2016/09/materia-capa-78/","Patentes e Inovação"
"Edição 78","Conflitos raciais nos EUA","Unesp Ciência","http://www.unespciencia.com.br/2016/09/sociedade-78/","Sociedade"
"Edição 78","O novo direito à desconexão","Unesp Ciência","http://www.unespciencia.com.br/2016/09/TI-78/","Tecnologia da informação"
"Edição 78","O Terror em Israel e na Palestina","Unesp Ciência","http://www.unespciencia.com.br/2016/09/israel-78/","Relações Internacionais"
"Edição 78","Mulheres chefes de família","Unesp Ciência","http://www.unespciencia.com.br/2016/09/mulheres-78/","Configurações familiares"
"Edição 78","Clássico ensina como se tornar filósofo","Unesp Ciência","http://www.unespciencia.com.br/2016/09/leitura-78/","Leitura"
"Edição 78","A quem interessa a doutrinação do Escola Sem Partido?","Unesp Ciência","http://www.unespciencia.com.br/2016/09/educacao-78/","Educação"
"Edição 78","Revisão do programa Ciência sem Fronteiras","Unesp Ciência","http://www.unespciencia.com.br/2016/09/internacionalizacao-78/","Internacionalização"
"Edição 78","Casos de aids voltam a crescer no Brasil","Unesp Ciência","http://www.unespciencia.com.br/2016/09/medicina-78/","Medicina"
"Edição 78","Os 25 anos do Mercosul","Unesp Ciência","http://www.unespciencia.com.br/2016/09/mercosul-78/","Relações Internacionais"
"Edição 78","A morada do som","Unesp Ciência","http://www.unespciencia.com.br/2016/09/musica-78/","Música"
"Edição 78","Velho Chico, a novela do ‘novo mundo rural’","Unesp Ciência","http://www.unespciencia.com.br/2016/09/arte-78/","Arte e cultura"
"Edição 78","Instituto de Estudos Avançados do Mar","Unesp Ciência","http://www.unespciencia.com.br/2016/09/foto-mes-78/","Foto do mês"
