"2016-11-17","Ciências da Saúde","Estudo traça perfil do ciclismo na cidade de São Paulo em diferentes períodos","Artigo apresenta as correlações, tendências temporais e consequências para a saúde na utilização de bicicleta na cidade","Ciências Humanasciclismocidade de São PauloFaculdade de Saúde PúblicaFSPThiago Hérick de SáUniversity of Cambridge School of Clinical MedicineUniversity of Illinois","http://jornal.usp.br/ciencias/ciencias-humanas/estudo-traca-perfil-do-ciclismo-na-cidade-de-sao-paulo-em-diferentes-periodos/"
"2016-11-17","Ciências","Lançada nova edição da revista “Boletim de Botânica”","O volume 34 da revista traz seis artigos com foco no Estado de Minas Gerais","IB-USPInstituto de BiociênciasRevista Boletim de Botânica","http://jornal.usp.br/ciencias/lancada-nova-edicao-da-revista-boletim-de-botanica/"
"2016-11-17","Ciências","ECA sedia lançamento do livro “Televisão: Tecnologia e Forma Cultural”","O evento trará debates sobre o autor Raymond Williams, sua obra e os temas tratados nessas publicações","ECAEscola de Comunicações e ArtesRaymond WilliamsTelevisão","http://jornal.usp.br/ciencias/eca-sedia-lancamento-do-livro-televisao-tecnologia-e-forma-cultural/"
"2016-11-16","Ciências","Martin Grossmann analisa o Centro Cultural São Paulo como “crítica” ao Modernismo","","","http://jornal.usp.br/ciencias/martin-grossmann-analisa-o-centro-cultural-sao-paulo-como-critica-ao-modernismo/"
"2016-11-16","Ciências Biológicas","Nanopartículas de magnetita matam células do câncer por superaquecimento","Encapsulado com uma nova técnica, material não tem efeito tóxico e pode destruir as células tumorais","Ciências Exatas e da TerraCâncerEESCFMRPIQSCNanopartículas","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/nanoparticulas-de-magnetita-matam-celulas-do-cancer-por-superaquecimento/"
"2016-11-11","Ciências Biológicas","Lançado arquivo on-line que reúne variações genéticas dos brasileiros","Banco de dados com 1,2 milhão de variantes genômicas mapeia a variabilidade existente no Brasil, auxiliando estudos sobre herança genética, envelhecimento e origem de doenças","Ciências da SaúdeABraOMCEGH-CELexomaFSPgenéticaGenomaIBIdososProjeto SABESão Paulo","http://jornal.usp.br/ciencias/ciencias-biologicas/lancado-arquivo-on-line-que-reune-variacoes-geneticas-dos-brasileiros/"
"2016-11-11","Ciências Biológicas","Sapos têm crânios alterados em resposta às mudanças climáticas","Estudo indica que alterações no clima atuam sobre a morfologia craniana de um grupo de sapos, que se adaptam para sobreviver em ambientes mais secos ou mais úmidos","AdaptaçãoBiologiaevoluçãoFabio de Andrade MachadoGabriel Marroig ZambonatoIBInstituto de BiociênciasMonique SimonMudança climáticaSapo","http://jornal.usp.br/ciencias/ciencias-biologicas/sapos-tem-cranios-alterados-em-resposta-as-mudancas-climaticas/"
"2016-11-10","Ciências Biológicas","Descoberta de fósseis dá novas pistas sobre a origem dos dinossauros","Animais de cerca de 230 milhões de anos, encontrados no sul do Brasil, sugerem que os dinossauros e seus precursores viveram lado a lado, e que a ascensão dos dinossauros foi mais gradual","Buriolestes schultzidescobertadinossaurosescavaçõesevoluçãoFFCLRPFormação Santa MariafósseisIxalerpeton polesinensisprecursor de dinossaurosUFRJUlbraUSP","http://jornal.usp.br/ciencias/ciencias-biologicas/descoberta-de-fosseis-da-novas-pistas-sobre-a-origem-dos-dinossauros/"
"2016-11-10","Ciências da Saúde","Falta de proteína da superfície do parasita da malária evita infecção do mosquito","Equipe de pesquisadores mostrou que proteína presente na superfície dos plasmódios desempenha papel essencial para que o parasita complete ciclo de vida","Cell Host&MicrobeInstituto de Ciências BiomédicasMaláriaMosquito AnófelesParasita","http://jornal.usp.br/ciencias/ciencias-da-saude/falta-de-proteina-da-superficie-do-parasita-da-malaria-evita-infeccao-do-mosquito/"
"2016-11-10","Tecnologia","Trabalhos da USP são premiados em evento nacional de robótica","O evento ""Robótica 2016"" reconheceu quatro trabalhos do Instituto de Ciências Matemáticas e Computação da USP","ICMCInstituto de Ciências Matemáticas e de ComputaçãoRobótica 2016USP São Carlos","http://jornal.usp.br/ciencias/tecnologia/trabalhos-da-usp-sao-premiados-em-evento-nacional-de-robotica/"
"2016-11-09","Ciências da Saúde","Nova estratégia contra a sepse combate inflamação e reduz mortalidade","Dois fármacos foram utilizados para inibir enzima a fim de combater a inflamação e reduzir a mortalidade de pacientes com sepse","CRIDFMRPIQmedicamentoRedoxomaRibeirão PretoSão Paulosepse","http://jornal.usp.br/ciencias/ciencias-da-saude/nova-estrategia-contra-a-sepse-combate-inflamacao-e-reduz-mortalidade/"
"2016-11-09","Ciências Biológicas","Biossensores apresentam potencial para medir glicose de modo contínuo","De acordo com os pesquisadores da USP em Ribeirão Preto, os dispositivos também abrem caminho para a criação de um pâncreas artificial","Ciências da Saúdecélulas cancerígenasDiabetesextracelularFFCLRPfísico médico biossensores de glicoseglicoseintracelularMarcelo Mulatomonitoramento contínuopâncreas artificialRaphael Aparecido Sanches Nascimento","http://jornal.usp.br/ciencias/ciencias-biologicas/biossensores-apresentam-potencial-para-medir-glicose-de-modo-continuo/"
"2016-11-09","Ciências","Institutos Nacionais de Ciência e Tecnologia sediados na USP receberão financiamento","USP conta com 17 projetos selecionados entre os 33 Institutos Nacionais de Ciência e Tecnologia (INCT) do Estado de São Paulo que receberão financiamento. Número total é de 101 projetos","FapespFinanciamentoFomentoINCTsInstituto Nacional de Ciência e TecnologiaInvestimentoPolítica científicaUSP","http://jornal.usp.br/ciencias/comite-divulga-lista-dos-incts-que-receberao-financiamento/"
"2016-11-09","Ciências","Professor britânico fala sobre novos tratamentos para o Alzheimer","Conferência com o professor Foo Y. Eddy Liew, da Universidade de Glasgow, será no dia 10 de novembro, às 9 horas, na USP em Ribeirão Preto","CRIDDoença de AlzheimerFMRPFoo Y. Eddy LiewIEA-RP","http://jornal.usp.br/ciencias/professor-britanico-fala-sobre-novos-tratamentos-de-alzheimer/"
"2016-11-09","Ciências","Falando de economia a robótica, Simpósio Brasil-Japão 2016 acontece na USP","Evento acontece dia 16 de novembro, na Biblioteca Brasiliana, e tem entrada franca","Biblioteca Brasiliana Guita e José MindlinCiênciaJapãoSimpósio Brasil-Japão 2016tecnologiaUSP","http://jornal.usp.br/ciencias/falando-de-economia-a-robotica-simposio-brasil-japao-2016-acontece-na-usp/"
"2016-11-08","Ciências Biológicas","Enzima da levedura do pão pode ser alternativa para tratar leucemia infantil","Nos testes iniciais ""in vitro"", enzima descrita por pesquisadores da USP e da Unesp demonstrou potencial para matar as células tumorais","Ciências da SaúdeAdalberto Pessoa JúniorbiofármacosenzimaErwinia crisantemiEscherichia coliFCFGisele MonteiroIris Munhoz CostaL-asparaginaseleucemia linfóide aguda infantilSaccharomyces cerevisiae","http://jornal.usp.br/ciencias/ciencias-biologicas/enzima-da-levedura-do-pao-pode-ser-alternativa-para-tratar-leucemia-infantil/"
"2016-11-08","Ciências Agrárias","Pesquisa que propõe uso de adubo verde em canaviais é premiada","Método também permite maior eficiência no uso de fertilizantes, resultando em economia ao produtor","Ciências AmbientaisAdubo VerdeEsalqEscola Superior de Agricultura Luiz de QueirozIPNI","http://jornal.usp.br/ciencias/ciencias-agrarias/pesquisa-que-propoe-uso-de-adubo-verde-em-canaviais-e-premiada/"
"2016-11-07","Ciências Biológicas","Alunos da USP ganham prêmio internacional microbiologia e higiene de alimentos","Trabalho produzido na Escola Superior de Agricultura Luiz de Queiroz foi apresentado em congresso em Medellín, na Colômbia","Ciências da SaúdeEsalqEscola Superior de Agricultura Luiz de QueirozGetepHigieneICMSFInternational Commission on Microbiological SpecificationMicrobiologia de AlimentosPescadoPiracicaba","http://jornal.usp.br/ciencias/ciencias-biologicas/alunos-da-usp-ganham-premio-internacional-microbiologia-e-higiene-de-alimentos/"
"2016-11-07","Ciências Exatas e da Terra","Ganhador do Nobel fala das “maravilhas da física nas proximidades do zero absoluto”","Palestra, com entrada gratuita, será ministrada em São Carlos pelo ganhador do Nobel de Física de 1997, William Daniel Phillips","FísicaIFSCInstituto de Física de São CarlosnobelWilliam Daniel Phillipszero absoluto","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/ganhador-do-nobel-fala-das-maravilhas-da-fisica-nas-proximidades-do-zero-absoluto/"
"2016-11-07","Ciências Agrárias","Estudo reforça importância econômica da biomassa para América Latina e África","Uma reunião de 50 especialistas em bioenergia aponta para a capacidade de cultivo de biomassa em nível mundial nos dois continentes, mas há desafios","Ciências AmbientaisCiências HumanasbioenergiabiomassaFapespGláucia Mendes SouzaInstituto de QuímicaIQ-USP","http://jornal.usp.br/ciencias/ciencias-agrarias/estudo-reforca-importancia-economica-da-biomassa-para-america-latina-e-africa/"
"2016-11-07","Ciências Agrárias","Técnica melhora processo de hidratação do feijão moyashi","Proposta é desenvolver processos mais eficientes para garantir aos consumidores alimento seguro e de maior qualidade","Ciência dos AlimentosEsalqEscola Superior de Agricultura Luiz de QueirozTecnologia de Ultrassom","http://jornal.usp.br/ciencias/ciencias-agrarias/tecnica-melhora-processo-de-hidratacao-do-feijao-moyashi/"
"2016-11-07","Ciências da Saúde","Pesquisa investiga epidemia midiática de febre amarela","Pesquisadora investiga epidemia discursiva durante cobertura midiática de epizootia de febre amarela no verão de 2008","Ciências HumanasAngela Maria Belloni CuencaCláudia MalinverniEpidemiaEpizootiaFaculdade de Saúde PúblicaFebre AmarelaFSPJornalismoSaúde","http://jornal.usp.br/ciencias/ciencias-humanas/pesquisa-investiga-epidemia-midiatica-de-febre-amarela/"
"2016-11-07","Ciências Biológicas","Algoritmo inspirado na evolução dá origem a código genético criado em computador","O estudo do código genético pode contribuir futuramente na produção de proteínas específicas importantes para as áreas biológica e farmacológica","Tecnologiaabordagem estatísticaabordagem por engenhariaalgoritmosárea biológicaárea farmacológicacódigo canônicocódigo genéticocomputadorDCMDNAFFCLRPprocesso evolutivopropriedadesproteína sintéticaProteínasrobustezUSP","http://jornal.usp.br/ciencias/ciencias-biologicas/algoritmo-inspirado-na-evolucao-da-origem-a-codigo-genetico-criado-em-computador/"
"2016-11-07","Ciências","Lançada nova edição da revista “Journal of Ancient Philosophy”, do Departamento de Filosofia da FFLCH","O periódico aborda temas de interesse para alunos e pesquisadores da área de Filosofia antiga","Faculdade de Filosofia Letras e Ciências HumanasFFLCHFilosofia antigaJournal of Ancient Philosophy","http://jornal.usp.br/ciencias/lancada-nova-edicao-da-revista-journal-of-ancient-philosophy-do-departamento-de-filosofia-da-fflch/"
"2016-11-07","Ciências","Desenvolvimento de medicamentos e inovação serão tema de encontro","Iniciativa do programa Supernova, do Instituto de Ciências Biomédicas, aproxima universidade e indústria","Drug Discovery AcademiaICBInternational SymposiumISDDA 2016","http://jornal.usp.br/ciencias/desenvolvimento-de-medicamentos-e-inovacao-serao-tema-de-encontro/"
"2016-11-07","Ciências Ambientais","Tecnologia usa laser aeroembarcado para monitorar a floresta","Em Piracicaba, o Grupo de Estudos em Tecnologias LidAR desenvolve de forma pioneira projetos florestais com dados gerados por instrumentos óticos","Ciências Exatas e da TerraEsalqEscola Superior de Agricultura Luiz de QueirozLaserMonitoramento Florestal","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/tecnologia-usa-laser-aeroembarcado-para-monitorar-a-floresta/"
"2016-11-04","Ciências Biológicas","Pesquisador da USP vence o maior prêmio de imunologia da América Latina","Lucas Arruda recebeu o Prêmio Thereza Kipnis 2016 por sua pesquisa sobre esclerose sistêmica","Ciências da SaúdeCentro de Terapia CelularCTCesclerose sistêmicaFaculdade de Medicina de Ribeirão PretoFMRPLucas ArrudaPrêmio Thereza Kipnis 2016","http://jornal.usp.br/ciencias/ciencias-biologicas/pesquisador-da-usp-vence-o-maior-premio-de-imunologia-da-america-latina/"
"2016-11-04","Ciências","Comunicação de risco deve ser uma via de mão dupla, defendem especialistas","Governo e empresas devem informar a população sobre os reais riscos de suas atividades e saber dialogar com a comunidade.","TV USPCatástrofeComunicação de RiscoFaculdade de Saúde PúblicaFukushimaKwan-Hoong NgRisco","http://jornal.usp.br/ciencias/comunicacao-de-risco-deve-ser-uma-via-de-mao-dupla-defendem-especialistas/"
"2016-11-04","Ciências da Saúde","Estudo destaca potencial do jucá contra rugas e manchas na pele","Ácido presente na planta evita que ações oxidantes degradem o tecido e contribuam para o envelhecimento da pele","antienvelhecimentoFaculdade de Ciências FarmacêuticasFCFjucáSilvya Stuchi Maria-EnglerTatiana do Nascimento PedrosaUfam","http://jornal.usp.br/ciencias/ciencias-da-saude/estudo-destaca-potencial-do-juca-contra-rugas-e-manchas-na-pele/"
"2016-11-04","Ciências Exatas e da Terra","Astrônomos da USP descobrem super-Netuno e super-Terra em estrela gêmea do Sol","Equipe liderada pelo astrônomo Jorge Melendez também encontra evidências de planeta devorado por sua estrela","AstronomiaInstituto de Astronomia Geofísica e Ciências AtmosféricasJorge MelendezSuper-NetunoSuper-Terra","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/astronomos-da-usp-descobrem-super-netuno-e-super-terra-em-estrela-gemea-do-sol/"
"2016-11-03","Ciências","Campus de Pirassununga terá Centro de Pesquisas em Nutrologia de Cães e Gatos","Com investimento total de R$ 2 milhões da empresa PremieR pet, o projeto do Cepen Pet será concluído no primeiro semestre de 2017","Centro de Pesquisas em Nutrologia de Cães e GatosFaculdade de Medicina Veterinária e ZootecniaFMVZNutrição Animal","http://jornal.usp.br/ciencias/campus-de-pirassununga-tera-centro-de-pesquisas-em-nutrologia-de-caes-e-gatos/"
"2016-11-03","Ciências da Saúde","Pesquisador conta o que descobriu sobre os efeitos da poluição do ar","O vídeo traz o diretor do IEA, Paulo Saldiva, apresentando sua pesquisa sobre poluição do ar na cidade de São Paulo e impactos na saúde","TV USPcidade de São PauloFaculdade de Medicina da USPFMUSPIEAInstituto de Estudos AvançadosPaulo Saldivapoluição do arSaúde","http://jornal.usp.br/tv-usp/pesquisa-sobre-efeitos-da-poluicao-do-ar-na-saude-e-tema-de-video-da-fapesp/"
"2016-11-03","Ciências da Saúde","Aumento no número de refeições está relacionado com obesidade no Brasil","Pesquisa aponta que o controle do tamanho da porção de determinados alimentos e do número de refeições pode auxiliar na prevenção e controle do excesso de peso","AlimentosFaculdade de Saúde PúblicaFSPGrupo de Pesquisa de Avaliação do Consumo AlimentarJaqueline Lopes PereiraNutriçãoObesidadeRegina Mara Fisberg","http://jornal.usp.br/ciencias/ciencias-da-saude/aumento-no-numero-de-refeicoes-pode-ser-uma-das-causas-da-obesidade-no-brasil/"
"2016-11-03","Ciências","Publicação on-line traz conceitos e exercícios de mecânica e hidráulica","""Hidrabook"" foi produzido por docentes e pós-graduandos do Departamento de Engenharia de Biossistemas da Esalq","Engenharia HidráulicaEsalqEscola Superior de Agricultura Luiz de QueirozMecânica dos fluidos","http://jornal.usp.br/ciencias/publicacao-online-aborda-conceitos-e-traz-exercicios-de-mecanica-dos-fluidos-e-hidraulica/"
"2016-11-01","Ciências","Estudo de ciências nas escolas precisa ser debatido, defende pesquisador","Tese de doutorado questiona a forma como é feito o ensino de ciências nas escolas","Ciências da NaturezaEducaçãoEnsinoIFInstituto de Física","http://jornal.usp.br/ciencias/estudo-de-ciencias-nas-escolas-precisa-ser-debatido-defende-pesquisador/"
"2016-11-01","Ciências Ambientais","São Paulo tem 4 mil avícolas clandestinas vendendo frango, ovos e doenças","Pesquisa da FMVZ aponta que estabelecimentos não adotam medidas básicas de higiene e produtos sujeitam o consumidor a infecções alimentares diversas","Avícola clandestinaAviculturadoençasFaculdade de Medicina Veterinária e ZootecniaFMVZFrangosHigieneOvos","http://jornal.usp.br/ciencias/ciencias-ambientais/sao-paulo-tem-4-mil-avicolas-clandestinas-vendendo-frango-ovos-e-doencas/"
"2016-11-01","Ciências Exatas e da Terra","Um mergulho no universo singular dos matemáticos","Para eles, catástrofe é um campo de estudo que pode ser incluído dentro da chamada Teoria de Singularidades, cujas aplicações se estendem da física até a arte","ICMCInstituto de Ciências Matemáticas e de Computação em São CarlosMatemáticaTeoria da CatástrofeTeoria de Singularidades","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/um-mergulho-no-universo-singular-dos-matematicos/"
"2016-10-31","Ciências Exatas e da Terra","Pesquisador da Poli desenvolve sistema para avaliar túneis escavados em rochas","Modelo computacional possibilita fazer vistorias completas em túneis construídos em maciço rochoso com o mínimo de intervenção e grande precisão","Escola PolitécnicaPedro CacciariPolitúneis construídos em rochastúnel","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/pesquisa-da-poli-desenvolve-sistema-para-avaliar-tuneis-escavados-em-rochas/"
"2016-10-31","Ciências Biológicas","Ribeirão Preto sediará INCT em Células-Tronco e Terapia Celular no Câncer","Coordenado por professor da Faculdade de Medicina de Ribeirão Preto da USP, o novo INCT ampliará as atividades do instituto criado em 2008","Ciências da SaúdeFaculdade de Medicina de Ribeirão PretoFMRP-USPFundação Hemocentro de Ribeirão PretoINCTInovações e ComunicaçõesInstituto Nacional de Ciência e TecnologiaMinistério da Ciênciatecnologia","http://jornal.usp.br/ciencias/ciencias-biologicas/ribeirao-preto-sediara-inct-em-celulas-tronco-e-terapia-celular-no-cancer/"
"2016-10-31","Ciências","Revista “Epígrafe” traz entrevista com ex-secretário de Estado de Direitos Humanos","Com  periodicidade anual, publicação foi criada por alunos do curso de História da FFLCH","Ciências HumanasFaculdade de Filosofia Letras e Ciências HumanasFFLCHhistóriaracismoRevista Epígrafe","http://jornal.usp.br/ciencias/revista-epigrafe-traz-entrevista-com-ex-secretario-de-estado-de-direitos-humanos/"
"2016-10-31","Ciências Ambientais","Projeto para rios paulistanos alia usos múltiplos das águas, do lazer à macrodrenagem","Proposta prevê implantação de parques em orlas fluviais e a criação de lagos nas nascentes e foz de rios como alternativa para prevenção contra enchentes","Ciências HumanasFAUHidroanelriosSão Paulo","http://jornal.usp.br/ciencias/ciencias-humanas/projeto-para-rios-paulistanos-alia-usos-multiplos-das-aguas-do-lazer-a-macrodrenagem/"
"2016-10-31","Tecnologia","Novo método avalia como pedágio urbano impacta viagens","Simulações realizadas em pesquisa da Escola Politécnica demostram quantas pessoas migrariam do transporte individual para coletivo.","pedágio urbanoPoliSão PauloTrânsito","http://jornal.usp.br/ciencias/tecnologia/novo-metodo-avalia-como-pedagio-urbano-impacta-viagens/"
"2016-10-31","Ciências Exatas e da Terra","Lançada nova edição da revista “Geologia USP Série Científica”","Publicada no Instituto de Geociências, revista é dedicada à divulgação de artigos inéditos nas diversas áreas da Geologia","geociênciasGeologiaGeologia USP Série CientíficaIGcInstituto de GeociênciasPeriódicoSão Paulo","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/lancada-nova-edicao-da-revista-geologia-usp-serie-cientifica/"
"2016-10-27","Ciências Ambientais","Pesquisadores identificam marcador do Antropoceno no Atlântico Sul","Resquícios de césio-137 deixados por bombas nucleares podem ser utilizados como marcador geológico do Hemisfério Sul","Ciências Exatas e da TerraAntropocenoCésio-137Instituto de OceanografiaIO-USPmarcador geológicoPaulo Alves de Lima FerreiraRubens Cesar Lopes Figueira","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/pesquisadores-identificam-marcador-do-antropoceno-no-atlantico-sul/"
"2016-10-27","Ciências da Saúde","Lançada nova edição da “Revista de Direito Sanitário”, da Faculdade de Saúde Pública","A publicação é voltada a pesquisadores, estudantes, gestores públicos, operadores do direito e profissionais que tenham interesse na área","Ciências HumanasDireito e saúdeFaculdade de Saúde PúblicaFSPRevista de Direito SanitárioSaúde Pública","http://jornal.usp.br/ciencias/ciencias-humanas/lancada-nova-edicao-da-revista-de-direito-sanitario-da-faculdade-de-saude-publica/"
"2016-10-27","Ciências Ambientais","Resíduos da indústria de papel se transformam em bioetanol","Pesquisadores da USP acabam de desenvolver método que, além de oferecer alternativa limpa para o processo de branqueamento de papel, ainda produz bioetanol, a partir do lodo branco","Ciências BiológicasamidoBiocombustívelbioetanolenzimasFFCLRPfungosindústria de papel e celuloseJorge Henrique Almeida Betiniligninalodo brancoMaria de Lourdes Teixeira de Moraes PolizeliMeio ambienteresíduosSaccharomyces cerevisiaexilanase","http://jornal.usp.br/ciencias/ciencias-biologicas/residuos-da-industria-de-papel-se-transformam-em-bioetanol/"
"2016-10-26","Ciências","Estudante de Engenharia é finalista de prêmio estudantil da SAE Brasil","O trabalho de André Gustavo Soares Brasil Sampaio Costa foi desenvolvido na Poli sob a orientação do professor Guenther Carlos Krieger Filho","Engenharia MecânicaEscola PolitécnicaPoliSAE Brasil","http://jornal.usp.br/ciencias/estudante-de-engenharia-e-finalista-de-premio-estudantil-da-sae-brasil/"
"2016-10-26","Ciências da Saúde","Lançada nova edição da revista “Clinics”, da Faculdade de Medicina","Periódico publica artigos de interesse para clínicos e pesquisadores em ciências médicas","ClinicsFaculdade de MedicinaFMUSPPeriódicoSaúde","http://jornal.usp.br/ciencias/ciencias-da-saude/lancada-nova-edicao-da-revista-clinics-da-faculdade-de-medicina-2/"
"2016-10-26","Atualidades","Falta compromisso dos prefeitos com a gestão pública ambiental","Pesquisa da Fearp revela falta de compromisso de prefeitos e confirma responsabilidade desses gestores no desenvolvimento sustentável dos municípios paulistas","Ciênciascidade verdeCidade Verde EuropeiaDesenvolvimento SustentávelFEARPgestão pública ambientalgestor ambientalMeio ambienteMunicípio Verde Azulprefeito","http://jornal.usp.br/ciencias/falta-compromisso-dos-prefeitos-com-a-gestao-publica-ambiental/"
"2016-10-26","Ciências da Saúde","Tecnologia diagnóstica para artrite reumatoide criada na USP é premiada","Pesquisador da Faculdade de Medicina de Ribeirão Preto recebe prêmio por desvendar mecanismo biológico que torna pacientes com artrite reumatoide resistentes a tratamento convencional","ARartrite reumatoideBiomarcadoresCentro de Pesquisa em Doenças InflamatóriasCRIDFaculdade de Medicina de Ribeirão PretoFMRPmetotrexatoRaphael Sanches Peres","http://jornal.usp.br/ciencias/ciencias-da-saude/tecnologia-diagnostica-para-artrite-reumatoide-criada-na-usp-e-premiada/"
"2016-10-25","Ciências Ambientais","Produção de partículas em nuvens na Amazônia acontece em altas altitudes","Estudo veiculado na revista ""Nature"" revela que a origem dos aerossóis atmosféricos que alimentam as nuvens da região amazônica em condições livres de poluição está a cerca de 15 mil metros de altitude","aerossóisAmazôniaGoAmazonpartículas nanométricasPoluição","http://jornal.usp.br/ciencias/ciencias-ambientais/producao-de-particulas-em-nuvens-na-amazonia-acontece-em-altas-altitudes/"
"2016-10-25","Atualidades","Estudantes criam sopa instantânea com menor teor de sódio","Alunos da Escola Superior de Agricultura Luiz de Queiroz, em Piracicaba, desenvolveram a sopa ""Benevie”, do italiano, “Boa Vida”, para servir de alternativa aos alimentos com alto teor de sódio","Ciências da Saúdeciências dos alimentosEsalqPiracicabasódio","http://jornal.usp.br/atualidades/estudantes-criam-sopa-instantanea-com-menor-teor-de-sodio/"
"2016-10-25","Ciências","Brasileiras são premiadas na 11ª edição do “Para Mulheres na Ciência”","Sete pesquisadoras, de quatro Estados brasileiros, receberam o prêmio no último dia 20 de outubro no Museu do Amanhã","Adriana Neumann de OliveiraAna Leonor Chies SantosClaudia Kimie SuemotoDenise Morais da FonsecaElisama Vieira SantosFernanda de Pinho WerneckGabriela TrevisanL'Oreal Brasilprêmio Para Mulheres na CiênciaUnesco","http://jornal.usp.br/ciencias/brasileiras-sao-premiadas-na-11a-edicao-do-para-mulheres-na-ciencia/"
"2016-10-25","Ciências","Capela do Museu Casa de Portinari é avaliada por pesquisadores da USP","Os métodos utilizados contam com técnicas físicas que não danificam a pintura e permitem identificar o processo criativo da obra","CulturaUniversidadeCapela da NonnainfravermelhoInstituto de Físicaluz tangencialMuseu Casa de PortinariNAP-FAEPAHultravioleta","http://jornal.usp.br/ciencias/capela-do-museu-casa-portinari-e-avaliada-por-pesquisadores-da-usp/"
"2016-10-25","Tecnologia","Pesquisa propõe novos modelos de negócios em rodovias","Recurso de emissão de sinais de rádio poderá propiciar a troca de informações entre carros e com a infraestrutura da estrada","CeMEAICentro de Ciências Matemáticas Aplicadas à IndústriaComunicaçãoEdson MoreiraICMCSão CarlosTransportes","http://jornal.usp.br/ciencias/tecnologia/pesquisa-propoe-novos-modelos-de-negocios-em-rodovias/"
"2016-10-24","Ciências","Campus de São Carlos sedia evento internacional sobre escrita científica","Haverá a presença de especialistas em escrita científica e editores de importantes publicações internacionais","Escrita CientíficaIFSCInstituto de Física de São CarlosSão Carlos","http://jornal.usp.br/ciencias/campus-de-sao-carlos-sedia-evento-internacional-sobre-escrita-cientifica/"
"2016-10-24","Ciências da Saúde","Nanocápsulas com anti-inflamatório reduzem tumor cerebral maligno em camundongos","Cápsulas de dimensões nanométricas foram usadas com sucesso por pesquisadores da USP para “entregar” medicamentos ao cérebro e combater glioblastoma","Ciências Exatas e da TerraCérebroFaculdade de Ciências FarmacêuticasFCFGliobastomaNanociênciaNanotecnologiaOncologiaSandra Helena Poliselli FarskyTumor","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/nanocapsulas-com-anti-inflamatorio-reduzem-tumor-cerebral-maligno-em-camundongos/"
"2016-10-24","Tecnologia","“Órgão-em-chip” é opção para substituir experimentação animal em estudos científicos","Dispositivos feitos com materiais simples reproduzem padrões fisiológicos de órgãos e tecidos para ensaios toxicológicos","IQSCNanotecnologiaórgãos-em-chipSão Carlos","http://jornal.usp.br/ciencias/tecnologia/orgao-em-chip-e-opcao-para-substituir-experimentacao-animal-em-estudos-cientificos/"
"2016-10-24","Ciências Biológicas","Programa da TV USP Bauru mostra pesquisa sobre diagnóstico de zika pela saliva","Nesta edição do programa ""3x4"", a professora Maria Aparecida de Andrade Moreira Machado e o professor Walter Luiz Siqueira contam as vantagens desse método","Ciências da SaúdeTV USP3x4Aedes aegyptiBauruDengueFaculdade de Odontologia de BauruFOBMaria Aparecida de Andrade Moreira MachadoTV USP BauruWalter Luiz SiqueiraZika","http://jornal.usp.br/tv-usp/programa-da-tv-usp-bauru-mostra-pesquisa-sobre-diagnostico-de-zika-pela-saliva/"
"2016-10-24","Atualidades","Site ChuvaOnline permite monitorar chuvas em São Paulo em tempo real","Serviço é útil à população e a órgãos governamentais pois mostra local, intensidade e direção das chuvas através de um novo sistema de radares que cobre toda a cidade","CiênciasRádio USPcarlos augusto moraleschuvaonlinechuvasClimaIAGMeteorologiaParque Cientecregião metropolitanaSão Paulotempo severo","http://jornal.usp.br/ciencias/site-chuvaonline-permite-monitorar-chuvas-em-sao-paulo-em-tempo-real/"
"2016-10-21","Ciências Biológicas","Macacos-prego produzem pedras afiadas semelhantes a ferramentas","Fragmentos de pedras gerados acidentalmente pelos primatas no Parque Nacional da Serra da Capivara são parecidos com instrumentos talhados em rochas pelos ancestrais humanos há 2,6 milhões de anos","Ciências HumanasAntropologiaEduardo OttonievoluçãoIdade da pedraInstituto de PsicologiaIPprimatasSão Paulo","http://jornal.usp.br/ciencias/ciencias-biologicas/macacos-prego-produzem-pedras-afiadas-semelhantes-a-ferramentas/"
"2016-10-20","Ciências da Saúde","Teste é capaz de diagnosticar 416 vírus de regiões tropicais","Ferramenta poderá ajudar centros de referência na vigilância epidemiológica de patógenos com potencial para causar epidemias em humanos","Doença tropicalFaculdade de Ciências Farmacêuticas de Ribeirão PretoFCFRPRibeirão Pretovíruszonas tropicais","http://jornal.usp.br/ciencias/ciencias-da-saude/teste-e-capaz-de-diagnosticar-416-virus-de-regioes-tropicais/"
"2016-10-20","Ciências da Saúde","Capacitação ajuda professores a identificar alunos com distúrbios de comportamento","O programa é voltado para professores da rede pública e visa a prepará-los para reconhecer estudantes  que estejam passando por problemas como depressão, ansiedade e déficit de atenção","Ciências HumanasansiedadeCapacitação de ProfessoresDeficit de AtençãodepressãoDistúrbios psiquiátricosFMIPQpsicólogasaúde mental","http://jornal.usp.br/ciencias/ciencias-humanas/capacitacao-ajuda-professores-identificar-alunos-com-disturbios-de-comportamento/"
