"2017-02-07","Tecnologia","Evento na Poli apresentou avanços em tecnologia adaptativa","Softwares adaptativos podem mudar a função ou o comando original de outros para que eles obtenham melhor desempenho","AdaptatividadeDepartamento de Engenharia de Computação e Sistemas DigitaisEPUSPEscola PolitécnicaPCSPoliWorkshop de Tecnologia AdaptativaWTA","http://jornal.usp.br/ciencias/tecnologia/evento-na-poli-apresentou-avancos-em-tecnologia-adaptativa/"
"2017-02-07","Ciências da Saúde","Semente de jabuticaba é poderosa aliada na prevenção da obesidade","Caroço da fruta é rico em elagitaninos, substâncias que possuem ação anti-inflamatória e são eficazes contra a obesidade","Compostos FenólicosElagitaninosFaculdade de Ciências FarmacêuticasFCFJabuticabaObesidade","http://jornal.usp.br/ciencias/ciencias-da-saude/semente-de-jabuticaba-e-poderosa-aliada-na-prevencao-da-obesidade/"
"2017-02-07","Ciências da Saúde","“Revista Brasileira de Educação Física e Esporte” publica novo número","Edição traz artigos sobre modalidades de treinamento e análises socioculturais e pedagógicas da educação física","Educação FísicaEscola de Educação Física e EsporteEsporteRevista Brasileira de Educação Física e Esporte","http://jornal.usp.br/ciencias/ciencias-da-saude/treinamento-atletico-e-discutido-em-novo-numero-da-revista-brasileira-de-educacao-fisica-e-esporte/"
"2017-02-06","Ciências Ambientais","Paulo Artaxo Netto é vencedor do Prêmio Faz Diferença","Pesquisador do Instituto de Física venceu premiação do jornal <em>O Globo</em> na categoria Sociedade/Sustentabilidade","AmazôniaFloresta AmazônicaInstituto de Físicamudanças climáticasNatureO GloboOrganização das Nações UnidaspesquisaPoluição Atmosféricaprêmio Faz Diferença 2016","http://jornal.usp.br/ciencias/ciencias-ambientais/paulo-artaxo-netto-e-vencedor-do-premio-faz-diferenca/"
"2017-02-06","Ciências Ambientais","Estação centenária registra aumento da temperatura no interior","Posto Meteorológico da Esalq, em Piracicaba, mostra aumento de 1,5°C no último século e completa 100 anos de atividade","EsalqEscola Superior de Agricultura Luiz de QueirozPosto Meteorológico da Esalqtemperatura","http://jornal.usp.br/ciencias/ciencias-ambientais/estacao-centenaria-registra-aumento-da-temperatura-no-interior/"
"2017-02-04","Ciências Exatas e da Terra","Inscrições abertas para prêmio de melhor tese em matemática","Iniciativa anual do Instituto de Ciências Matemáticas e de Computação é válida para trabalhos defendidos em 2016","Instituto de Ciências Matemáticas e de ComputaçãoMatemáticaPrêmioSão CarlosTese de doutorado","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/inscricoes-abertas-para-premio-de-melhor-tese-em-matematica/"
"2017-02-03","Ciências Exatas e da Terra","Curso de verão divulga pesquisas do Instituto de Física","Evento busca auxiliar estudantes em suas carreiras na pesquisa","curso de verãoescola de verãoIFInstituto de FísicaPaulo Artaxo","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/curso-de-verao-divulga-pesquisas-do-instituto-de-fisica/"
"2017-02-03","Ciências","Pesquisador vem à USP estudar aplicações de modelos computacionais","Fluxo de capitais, dinâmica populacional e doenças infecciosas estão entre áreas em que modelos serão testados","cooperação interdisciplinarEngenhariaInstituto de Estudos AvançadosLivroLuiz BevilacquaModelagem computacionalpesquisaprofessor visitante","http://jornal.usp.br/ciencias/pesquisador-vem-a-usp-estudar-aplicacoes-de-modelos-computacionais/"
"2017-02-03","Ciências Biológicas","Com quase 9 m de comprimento, o rei dos abelissaurídeos é brasileiro","Estudo classifica maior exemplar do gênero <em>pycnonemosaurus</em>, que há 70 milhões de anos habitava o Centro-Oeste","CretáceoDinossauroHistória NaturalMuseu de ZoologiaPaleontologiapycnonemosaurusZoologia","http://jornal.usp.br/ciencias/ciencias-biologicas/com-quase-9-m-de-comprimento-o-rei-dos-abelissaurideos-e-brasileiro/"
"2017-02-02","Ciências Exatas e da Terra","Magnetismo de materiais é medido em baixas temperaturas","Medições feitas com ressonância magnética nuclear devem ajudar no entendimento das propriedades físicas da matéria","FísicaIFmagnetismoRessonância Magnética Nuclear","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/magnetismo-de-materiais-e-medido-em-baixas-temperaturas/"
"2017-02-02","Ciências Ambientais","Projeto piloto controla gestão de resíduos no interior paulista","Matão (SP) foi o primeiro município a testar sistema que organiza quantidade, origem e destino de material descartado","CeMEAICentro de Ciências Matemáticas Aplicadas à IndústriaICMCInstituto de Ciências Matemáticas e ComputaçãoSISGERESSistema de Gestão de Resíduos Sólidos","http://jornal.usp.br/ciencias/ciencias-ambientais/projeto-piloto-controla-gestao-de-residuos-no-interior-paulista/"
"2017-02-01","Ciências Ambientais","Cientista da Inglaterra fala de inovações para um “futuro verde”","Famoso por canal de ciência no Youtube, Martyn Poliakoff participou de encontro de química","Ciências Exatas e da TerraEncontro Nacional dos Estudantes de Químicaquímica verdeUniversidade de NottinghamUSP Lecture","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/cientista-da-inglaterra-fala-de-inovacoes-para-um-futuro-verde/"
"2017-02-01","Ciências","Escolas de verão movimentam a Cidade Universitária nas férias","Eventos de humanas e de exatas reúnem estudantes de pós-graduação e professores universitários para aprimorarem conhecimentos","Cidade UniversitáriaEscola Politécnicaescolas de verãoFaculdade de Filosofia Letras e Ciências HumanasFaculdade de MedicinaFériasInfieriInsitituto de Matemática e EstatísticaInstituto de Astronomia Geofísica e Ciências AtmosféricasInstituto de FísicaInstituto de Relações InternacionaisIPSA-USP Summer Schoolsummer school","http://jornal.usp.br/ciencias/escolas-de-verao-movimentam-a-cidade-universitaria-nas-ferias/"
"2017-01-31","Ciências","Inscrições abertas para auxílio a pesquisa nos acervos da USP","Pesquisadores contarão com auxílio por três meses para consulta ao material de diversas instituições da Universidade","AcervoApoio ao PesquisadorBiblioteca Brasiliana Guita e José MindlinCentro de Biologia MarinhaInscriçõesinscrições abertasInsituto de Estudos BrasileirosMuseu de Arqueologia e EtnologiaMuseu de Arte ContemporâneaMuseu de ZoologiaMuseu PaulistaMuseuspesquisaPrograma Institucional de Pesquisa nos Acervos da USP","http://jornal.usp.br/ciencias/inscricoes-abertas-para-auxilio-a-pesquisa-nos-acervos-da-usp/"
"2017-01-31","Tecnologia","Cientista mostra poder dos jogos e do virtual na ciência e museus","Christian Stein, fundador do Gamelab Berlin, estará na USP, dia 2 de fevereiro, para apresentar projetos","Christian SteinGamelab BerlinIEARealidade virtual","http://jornal.usp.br/ciencias/tecnologia/cientista-mostra-poder-dos-jogos-e-do-virtual-na-ciencia-e-museus/"
"2017-01-30","Ciências Ambientais","Defesa Civil de Santos é modelo para outras cidades, afirma pesquisa","De acordo com estudo, órgão está entre os mais avançados em termos de resiliência urbana, mas ainda pode melhorar","defesa civilEscola Politécnica da USPPoliresiliênciaSantos","http://jornal.usp.br/ciencias/ciencias-ambientais/defesa-civil-de-santos-e-modelo-para-outras-cidades-afirma-pesquisa/"
"2017-01-30","Ciências da Saúde","Modelo matemático ajuda a entender o zumbido no ouvido","Pesquisa tenta desvendar doença que acomete cerca de 20% da população mundial","CeMEAIICMCInstituto de Ciências Matemáticas e ComputaçãoTinnituszumbido","http://jornal.usp.br/ciencias/ciencias-da-saude/modelo-matematico-ajuda-a-entender-o-zumbido-no-ouvido/"
"2017-01-30","Tecnologia","Trabalho premiado propõe estratégia para verificar dados científicos","Artigo sobre proveniência de dados propõe a gestão e o reuso de informações para maior eficiência em pesquisas","conferência internacionalDepartamento de Engenharia de Computação e Sistemas DigitaisEscola Politécnica da USPPCS","http://jornal.usp.br/ciencias/tecnologia/trabalho-premiado-propoe-estrategia-para-verificar-dados-cientificos/"
"2017-01-30","Ciências da Saúde","Departamento de Psiquiatria cria aplicativo para auxiliar médicos","Ferramenta possibilita consulta rápida sobre avaliação diagnóstica, tratamentos e diretrizes em saúde mental","AplicativoFaculdade de MedicinaFaculdade de Medicina da USPFMUSPIPQPsiquiatria","http://jornal.usp.br/ciencias/ciencias-da-saude/departamento-de-psiquiatria-cria-aplicativo-para-auxiliar-medicos/"
"2017-01-27","Ciências Exatas e da Terra","Astrônomos observam mais de cem sistemas binários de estrelas massivas","Cientistas realizaram o maior levantamento espectroscópico de sistemas binários de alta massa em galáxia satélite à Via Láctea","30 DoradusESOGrande Nuvem de MagalhãesIAGsistemas bináriosTarântulaVLT","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/astronomos-observam-mais-de-cem-sistemas-binarios-de-estrelas-massivas/"
"2017-01-27","Ciências da Saúde","Técnica cirúrgica reconstrói danos de tumor na região perianal","Especialistas da USP aprovam técnica de cirurgia plástica para reconstrução de defeitos causados por tumores perianais","ânuscirurgia plásticaFMRPreconstrução de defeitos da retirada de tumoresretotumor perianal","http://jornal.usp.br/ciencias/ciencias-da-saude/tecnica-cirurgica-reconstroi-danos-de-tumor-na-regiao-perianal/"
"2017-01-27","Ciências Exatas e da Terra","Evento promove troca de experiências para redução do efeito estufa","Workshop reunirá academia, governo e organizações para discutir cenários no setor de energia e emissões de gases","efeito estufaEscola PolitécnicaFapespGás Naturalgases do efeito estufaWorkshop","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/evento-promove-troca-de-experiencias-para-reducao-do-efeito-estufa/"
"2017-01-27","Tecnologia","Internet das coisas é um dos temas da nova edição da revista “Jistem”","A revista traz artigos acadêmicos nas áreas de Sistemas de Informação, Tecnologia da Informação e Ciência da Informação","Faculdade de Economia Administração e ContabilidadeFEAInternet das coisasJISTEMLaboratório de Gestão da Tecnologia e Sistemas de InformaçãoTecnologia da Informação","http://jornal.usp.br/ciencias/tecnologia/sistemas-de-informacao-e-internet-das-coisas-sao-temas-de-nova-edicao-da-revista-jistem/"
"2017-01-26","Ciências Ambientais","Partículas emitidas por veículos interferem na formação de chuvas","Poluição e urbanização da região metropolitana de São Paulo prejudicam a formação de chuvas leves","chuvasIAGIGcInstituto de Astronomia Geofísica e Ciências AtmosféricasInstituto de GeociênciasPoluição Atmosférica","http://jornal.usp.br/ciencias/ciencias-ambientais/particulas-emitidas-por-veiculos-interferem-na-formacao-de-chuvas/"
"2017-01-26","Ciências Exatas e da Terra","USP e UFSCar discutem pesquisa em educação matemática","Evento busca contribuir para o desenvolvimento das teorias e práticas educacionais na área","educação matemáticaFórum de Discussão – Parâmetros Balizadores da Pesquisa em Educação MatemáticaICMCInstituto de Ciências Matemáticas e ComputaçãoSão Carlos","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/usp-e-ufscar-discutem-pesquisa-em-educacao-matematica/"
"2017-01-26","Ciências da Saúde","USP pesquisa qualidade da água em Monte Negro (RO)","Biólogos em expedição verificam se os rios da região podem estar contaminados ou poluídos","Rádio USPÁguaFOBICB5Monte NegroProjeto FOB USP em RondôniaRondônia","http://jornal.usp.br/ciencias/ciencias-da-saude/usp-pesquisa-qualidade-da-agua-em-monte-negro/"
"2017-01-24","Ciências da Saúde","Melatonina pode ajudar tratamento de mulheres com infertilidade","Hormônio regula o sono e atua na formação de novos vasos sanguíneos em células do ovário","Faculdade de MedicinafertilidadeFMFMUSPhormôniosinfertilidade","http://jornal.usp.br/ciencias/ciencias-da-saude/hormonio-pode-ajudar-no-tratamento-de-mulheres-com-infertilidade/"
"2017-01-23","Ciências da Saúde","Índice calcula consumo de alimentos que protegem o coração","Sistema atribui pontuação e permite acompanhar a adequação da dieta à saúde cardíaca","AlimentaçãoDICA BrFSPSão Paulo","http://jornal.usp.br/ciencias/ciencias-da-saude/indice-calcula-consumo-de-alimentos-que-protegem-o-coracao/"
"2017-01-23","Ciências Exatas e da Terra","Medidas de raios cósmicos podem ajudar a entender matéria escura","Operação internacional registrou bilhões de eventos de raios cósmicos e detectou antimatéria","antimatériaIFSCInstituto de Física de São CarlosManuela VecchiRaio cósmicoSão Carlos","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/medidas-de-raios-cosmicos-podem-ajudar-a-entender-materia-escura/"
"2017-01-20","Ciências Exatas e da Terra","Cientistas da Califórnia fazem visita à USP em São Carlos","Grupo da Universidade de Fullerton já conhecia o Instituto de Ciências Matemáticas e de Computação e planeja trabalhos em conjunto","Centro de Ciências Matemáticas Aplicadas à Indústriaestados unidosInstituto de Ciências Matemáticas e de ComputaçãoMatemáticaSão Carlos","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/pesquisadores-da-california-fazem-visita-a-usp-em-sao-carlos/"
"2017-01-20","Tecnologia","Ar-condicionado individual pode melhorar o clima nos escritórios","Professora que criou o sistema diz que ele é mais econômico e saudável e busca investidores para produção em larga escala","ar-condicionadoClimaEscola Politécnicainovaçãotecnologiatrabalho","http://jornal.usp.br/ciencias/tecnologia/ar-condicionado-individual-pode-melhorar-o-clima-nos-escritorios/"
"2017-01-20","Ciências Exatas e da Terra","Radiotelescópio ajudará a desvendar “lado escuro” do Universo","Projeto com a participação de físicos da USP será construído no Uruguai","AstrofísicabingoEnergia EscuraIFInstituto de FísicaMatéria escuraradiotelescópio","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/radiotelescopio-ajudara-a-desvendar-lado-escuro-do-universo/"
"2017-01-19","Ciências Exatas e da Terra","Cientistas descobrem poderosa colisão cósmica dupla","Com participação de brasileiros, descoberta rendeu capa da edição inaugural da revista <em>""Nature Astronomy""</em>","Aglomerado de GaláxiasAstronomiaFelipe Andrade-SantosgalaxiasIAGInstituto de Astronomia Geofísica e Ciências AtmosféricasRafael Miloni SantucciVinicius Placco","http://jornal.usp.br/ciencias/ciencias-exatas-e-da-terra/cientistas-descobrem-poderosa-colisao-cosmica-dupla/"
"2017-01-19","Ciências da Saúde","Medicina de Ribeirão Preto publica nova edição de revista","Principais temas tratados nesta edição se referem a geriatria e oncologia","Faculdade de Medicina de Ribeirão PretoFMRPMedicinaPublicaçãoRevista","http://jornal.usp.br/ciencias/ciencias-da-saude/medicina-de-ribeirao-preto-publica-nova-edicao-de-revista/"
"2017-01-19","Ciências Ambientais","Lixo industrial gera renda quando manejo é feito em rede","Estudo mostra que boa gestão de resíduos da produção pode dar lucro, além de proteger o ambiente","Ciências HumanasFEARPreciclagemrede de empresasResíduos sólidosRodrigo Villa Lobos D’AmicoRogério Ceravolo Calia","http://jornal.usp.br/ciencias/ciencias-humanas/lixo-industrial-gera-renda-quando-manejo-e-feito-em-rede/"
"2017-01-19","Ciências da Saúde","InCor reúne profissionais para debater inovações em saúde","Encontro internacional discutirá avanços na cardiologia e áreas relacionadas","cardiologiaCardiovascularFaculdade de MedicinaFaculdade de Medicina da USPFMFMUSPHCHospital das ClinicasIncorInstituto do CoraçãoPneumologia","http://jornal.usp.br/ciencias/ciencias-da-saude/incor-reune-profissionais-para-debater-inovacoes-em-saude/"
